
Dataset: wisconsin():
======================
Number of graphs: 1
Number of features: 1703
Number of classes: 5

Data(x=[251, 1703], edge_index=[2, 515], y=[251], train_mask=[251, 10], val_mask=[251, 10], test_mask=[251, 10])
===========================================================================================================
Shape of the new adjacency matrix:  torch.Size([251, 251])
Number of nodes:  251
Number of edges:  515
Density:  0.0082
Maximum node degree:  122
Minimum node degree:  0
Average node degree:  2
Has isolated nodes: False
Has self-loops: True
Is undirected: False
===========================================================================================================
Device:  cuda:0
===========================================================================================================
Split:  0
===========================================================================================================
Epoch: 099, Loss: 0.7576, Train Acc: 0.9917, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 100, Loss: 0.7299, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 101, Loss: 0.7353, Train Acc: 0.9917, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 102, Loss: 0.7356, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 103, Loss: 0.7456, Train Acc: 0.9917, Val Acc: 0.9000, Test Acc: 0.8627
Epoch: 104, Loss: 0.7331, Train Acc: 1.0000, Val Acc: 0.9000, Test Acc: 0.8431
Epoch: 105, Loss: 0.7473, Train Acc: 0.9833, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 106, Loss: 0.7313, Train Acc: 0.9917, Val Acc: 0.8875, Test Acc: 0.8431
Epoch: 107, Loss: 0.7280, Train Acc: 0.9917, Val Acc: 0.8750, Test Acc: 0.8431
Epoch: 108, Loss: 0.7511, Train Acc: 0.9833, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 109, Loss: 0.7350, Train Acc: 0.9917, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 110, Loss: 0.7534, Train Acc: 0.9833, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 111, Loss: 0.7196, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 112, Loss: 0.7241, Train Acc: 0.9917, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 113, Loss: 0.7208, Train Acc: 0.9917, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 114, Loss: 0.7110, Train Acc: 1.0000, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 115, Loss: 0.7315, Train Acc: 0.9917, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 116, Loss: 0.7132, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 117, Loss: 0.7317, Train Acc: 0.9833, Val Acc: 0.8500, Test Acc: 0.8235
Epoch: 118, Loss: 0.7059, Train Acc: 1.0000, Val Acc: 0.8250, Test Acc: 0.8235
Epoch: 119, Loss: 0.7125, Train Acc: 1.0000, Val Acc: 0.8250, Test Acc: 0.8235
